,City,Count
0,"New York, NY",848
1,"Seattle, WA",777
2,"Cambridge, MA",694
3,"Boston, MA",629
4,"San Francisco, CA",564
5,"Chicago, IL",471
6,"San Diego, CA",412
7,"Washington, DC",340
8,"Mountain View, CA",277
9,"Atlanta, GA",269
10,"Sunnyvale, CA",256
11,"Los Angeles, CA",254
12,"Boulder, CO",251
13,"Austin, TX",213
14,"Redmond, WA",158
15,"South San Francisco, CA",73
16,"Redwood City, CA",59
17,"Oakland, CA",34
18,"Manhattan, NY",30
19,"San Mateo, CA",30
20,"San Francisco Bay Area, CA",26
21,"Emeryville, CA",19
22,"Berkeley, CA",19
23,"Jersey City, NJ",17
24,"San Carlos, CA",16
25,"Queens, NY",15
26,"Brooklyn, NY",14
27,"Foster City, CA",14
28,"Menlo Park, CA",14
29,"Novato, CA",12
30,"Alameda, CA",10
31,"Richmond, CA",10
32,"Hayward, CA",10
33,"Burlingame, CA",8
34,"Newark, NJ",8
35,"San Rafael, CA",7
36,"San Bruno, CA",7
37,"Bronx, NY",7
38,"Belmont, CA",5
39,"San Ramon, CA",4
40,"Round Rock, TX",4
41,"Parsippany, NJ",4
42,"Murray Hill, NJ",4
43,"South Plainfield, NJ",3
44,"Union, NJ",3
45,"Walnut Creek, CA",2
46,"Montclair, NJ",2
47,"Allendale, NJ",2
48,"Rahway, NJ",2
49,"San Leandro, CA",2
50,"Hoboken, NJ",2
51,"Palisades, NY",2
52,"Roseland, NJ",1
53,"Whippany, NJ",1
54,"Woodcliff Lake, NJ",1
55,"Ridgefield, NJ",1
56,"Rutherford, NJ",1
57,"West Orange, NJ",1
58,"Union City, CA",1
59,"Troy Hills, NJ",1
60,"Staten Island, NY",1
61,"Short Hills, NJ",1
62,"Secaucus, NJ",1
63,"New Brunswick, NJ",1
64,"Port Washington, NY",1
65,"Pleasant Hill, CA",1
66,"Bedminster, NJ",1
67,"Bloomfield, NJ",1
68,"Carlstadt, NJ",1
69,"Cedar Park, TX",1
70,"Daly City, CA",1
71,"East Hanover, NJ",1
72,"Fairfield, NJ",1
73,"Florham Park, NJ",1
74,"Fort Lee, NJ",1
75,"Fremont, CA",1
76,"Hackensack, NJ",1
77,"Harrison, NY",1
78,"Kenilworth, NJ",1
79,"Kentfield, CA",1
80,"Lafayette, CA",1
81,"Little Falls, NJ",1
82,"Long Beach, NY",1
83,"Lynbrook, NY",1
84,"Manhasset, NY",1
85,"Manhattanville, NY",1
86,"Martinez, CA",1
87,"Mill Valley, CA",1
88,"New Hyde Park, NY",1
89,"Oakland, NJ",1
90,"Orangeburg, NY",1
91,"Yonkers, NY",1
